model_id,records,answered,parse_rate,refusal_rate,hedged_rate,unparseable_rate,error_rate,attention_accuracy,mean_raw_fragility,mean_fragility,suppressed_cells,cost_usd,mean_latency_ms
openai/gpt-5.4-mini,6300,6300,1.0,0.0,0.0,0.0,0.0,1.0,0.45440621153834737,0.15752826681792137,0,0.607827,736.2474603174603
google/gemini-2.5-flash-lite,6300,6042,0.959047619047619,0.0,0.0,0.040952380952380955,0.0,1.0,0.36687223725737367,0.12002577473865493,62,0.0590984,443.2761904761905
anthropic/claude-sonnet-5,6300,6289,0.9982539682539683,0.0,0.0,0.001746031746031746,0.0,1.0,0.3828884995789123,0.11457421346810256,0,1.97844,2067.919365079365
x-ai/grok-4.20,6300,6012,0.9542857142857143,0.0,0.0,0.045714285714285714,0.0,0.9966666666666667,0.594151694155236,0.19073083565835988,85,0.8480656,569.8333333333334
meta-llama/llama-3.3-70b-instruct,6300,6300,1.0,0.0,0.0,0.0,0.0,1.0,0.4240693022443124,0.13007028199805568,0,0.12947849,599.0950793650794
mistralai/mistral-medium-3.1,6300,6300,1.0,0.0,0.0,0.0,0.0,1.0,0.3281951842629372,0.10441383659351887,0,0.22746912,559.3642857142858
qwen/qwen3.8-27b,6300,6300,1.0,0.0,0.0,0.0,0.0,1.0,0.4112078874636649,0.12479014237800853,0,0.29158715,757.2892063492063
deepseek/deepseek-v4-pro-0813,6300,6038,0.9584126984126984,0.0,0.0,0.04158730158730159,0.0,0.9966666666666667,0.5815347117553562,0.1980646157902288,58,0.797948712,872.9438095238095
z-ai/glm-5.2,6300,6214,0.9863492063492063,0.0014285714285714286,0.0,0.012222222222222223,0.0,1.0,0.48997459962396867,0.15758490224305108,14,0.43812828952,584.7536507936508
